,image,reds,greens,blues,blacks
0,clean5687.png,45185,1178,1035,298202
1,clean0259.png,30097,0,0,315503
2,clean3816.png,54816,9340,5425,276019
3,clean9485.png,121909,0,1107,222584
4,clean1576.png,37348,15660,4957,287635
5,clean2760.png,73395,10265,33897,228043
6,clean2007.png,89825,8052,1040,246683
7,clean4014.png,26927,27824,7614,283235
8,clean2381.png,40773,6729,1025,297073
9,clean6061.png,5734,7712,0,332154
10,clean7401.png,96635,130,0,248835
11,clean2292.png,51343,16792,0,277465
12,clean5978.png,91932,8301,22225,223142
13,clean9002.png,75525,23311,50397,196367
14,clean6673.png,153385,6819,3680,181716
15,clean6426.png,84890,1755,0,258955
16,clean8925.png,141307,277,0,204016
17,clean7737.png,80010,413,341,264836
18,clean5643.png,75741,7579,775,261505
19,clean7882.png,65540,17826,5572,256662
20,clean2361.png,132508,2952,4455,205685
21,clean6379.png,100328,9666,4291,231315
22,clean5323.png,108167,834,257,236342
23,clean7453.png,78028,22706,18408,226458
24,clean3197.png,14701,47976,6092,276831
25,clean8880.png,2220,10115,2973,330292
26,clean5629.png,48992,0,663,295945
27,clean2865.png,5826,9922,2863,326989
28,clean4068.png,101992,13975,2661,226972
29,clean3520.png,33117,9713,0,302770
30,clean8931.png,68580,13238,4017,259765
31,clean2405.png,22760,1492,887,320461
32,clean0462.png,112431,7163,6059,219947
33,clean6114.png,91599,4959,7281,241761
34,clean4983.png,15106,32735,95062,202697
35,clean6904.png,82537,410,306,262347
36,clean1969.png,131648,442,453,213057
37,clean8984.png,23947,4461,2753,314439
38,clean5713.png,47080,1941,1610,294969
39,clean4946.png,126880,10377,0,208343
40,clean5429.png,62885,15086,7560,260069
41,clean6551.png,35073,21082,25956,263489
42,clean7571.png,34773,23045,13731,274051
43,clean7750.png,64273,8714,0,272613
44,clean3371.png,43272,11009,8169,283150
45,clean6242.png,37511,1577,511,306001
46,clean3616.png,149866,0,0,195734
47,clean3737.png,7250,13591,4565,320194
48,clean2607.png,17664,11112,418,316406
49,clean9601.png,110748,1533,416,232903
50,clean6530.png,31347,21796,2309,290148
51,clean1202.png,32449,14391,47321,251439
52,clean5630.png,112710,2952,341,229597
53,clean3905.png,90067,1198,283,254052
54,clean9173.png,18617,0,0,326983
55,clean5426.png,68307,11907,14558,250828
56,clean0233.png,154888,3295,79879,107538
57,clean9333.png,152353,0,512,192735
58,clean3209.png,109079,2068,4241,230212
59,clean9302.png,34553,21271,9502,280274
60,clean8922.png,96867,3933,665,244135
61,clean4791.png,75632,986,239,268743
62,clean4710.png,54173,2537,10247,278643
63,clean4342.png,74482,15114,7865,248139
64,clean5759.png,36650,9730,0,299220
65,clean9690.png,83160,7933,3844,250663
66,clean4169.png,13053,761,5177,326609
67,clean4075.png,146582,0,0,199018
68,clean8738.png,32760,17110,24021,271709
69,clean8828.png,85343,0,588,259669
70,clean7192.png,41297,35382,21523,247398
71,clean6269.png,89347,1604,207,254442
72,clean7421.png,19422,17672,0,308506
73,clean5111.png,10739,15767,129,318965
74,clean7819.png,155325,713,1089,188473
75,clean3650.png,0,0,480,345120
76,clean0504.png,97437,0,0,248163
77,clean8570.png,118284,6050,785,220481
78,clean0204.png,82242,1589,0,261769
79,clean2713.png,92022,13703,6701,233174
80,clean1244.png,101069,12738,0,231793
81,clean3640.png,22561,2741,1094,319204
82,clean3620.png,46267,9787,401,289145
83,clean5144.png,32329,4383,709,308179
84,clean5660.png,30175,8139,57810,249476
85,clean3970.png,98254,1598,3816,241932
86,clean1457.png,33183,10165,3012,299240
87,clean0625.png,81908,1412,385,261895
88,clean9378.png,57715,13685,15216,258984
89,clean1342.png,24381,4298,0,316921
90,clean1683.png,81751,246,3133,260470
91,clean0743.png,30522,6139,0,308939
92,clean3503.png,98488,2516,0,244596
93,clean2524.png,34682,25467,37542,247909
94,clean6605.png,98344,13157,3118,230981
95,clean3566.png,60371,0,0,285229
96,clean0359.png,30325,13519,48158,253598
97,clean0765.png,83561,2441,303,259295
98,clean0828.png,43750,535,234514,66801
99,clean4711.png,21208,0,0,324392
100,clean6220.png,15954,26437,15614,287595
101,clean7394.png,44842,0,0,300758
102,clean8649.png,99752,686,0,245162
103,clean7706.png,49790,27363,32365,236082
104,clean0959.png,46732,26960,2588,269320
105,clean8582.png,18369,5714,0,321517
106,clean0429.png,95314,7645,0,242641
107,clean2911.png,55399,4997,2051,283153
108,clean6400.png,43289,6724,0,295587
